Categoria: Tutte le categorie

Mese,cloud computing: (Tutto il mondo)
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,1
2007-04,< 1
2007-05,< 1
2007-06,1
2007-07,1
2007-08,< 1
2007-09,1
2007-10,3
2007-11,2
2007-12,3
2008-01,4
2008-02,6
2008-03,6
2008-04,9
2008-05,11
2008-06,12
2008-07,20
2008-08,26
2008-09,23
2008-10,34
2008-11,35
2008-12,26
2009-01,30
2009-02,35
2009-03,50
2009-04,51
2009-05,44
2009-06,46
2009-07,50
2009-08,48
2009-09,57
2009-10,67
2009-11,71
2009-12,61
2010-01,62
2010-02,72
2010-03,77
2010-04,71
2010-05,73
2010-06,70
2010-07,67
2010-08,71
2010-09,78
2010-10,91
2010-11,92
2010-12,92
2011-01,94
2011-02,95
2011-03,98
2011-04,95
2011-05,90
2011-06,99
2011-07,82
2011-08,83
2011-09,92
2011-10,92
2011-11,93
2011-12,84
2012-01,82
2012-02,78
2012-03,83
2012-04,69
2012-05,65
2012-06,59
2012-07,62
2012-08,61
2012-09,65
2012-10,65
2012-11,60
2012-12,48
2013-01,51
2013-02,56
2013-03,54
2013-04,53
2013-05,46
2013-06,47
2013-07,49
2013-08,44
2013-09,50
2013-10,50
2013-11,46
2013-12,42
2014-01,45
2014-02,51
2014-03,50
2014-04,43
2014-05,40
2014-06,38
2014-07,41
2014-08,41
2014-09,49
2014-10,45
2014-11,44
2014-12,37
2015-01,37
2015-02,43
2015-03,40
2015-04,40
2015-05,35
2015-06,35
2015-07,36
2015-08,36
2015-09,40
2015-10,39
2015-11,37
2015-12,33
2016-01,32
2016-02,39
2016-03,36
2016-04,35
2016-05,35
2016-06,33
2016-07,29
2016-08,31
2016-09,34
2016-10,33
2016-11,36
2016-12,31
2017-01,33
2017-02,35
2017-03,37
2017-04,35
2017-05,40
2017-06,30
2017-07,31
2017-08,33
2017-09,34
2017-10,39
2017-11,39
2017-12,33
2018-01,32
2018-02,34
2018-03,32
2018-04,34
2018-05,31
2018-06,28
2018-07,29
2018-08,30
2018-09,37
2018-10,35
2018-11,37
2018-12,33
2019-01,31
2019-02,35
2019-03,36
2019-04,36
2019-05,33
2019-06,30
2019-07,32
2019-08,33
2019-09,37
2019-10,37
2019-11,40
2019-12,36
2020-01,39
2020-02,39
2020-03,33
2020-04,34
2020-05,32
2020-06,35
2020-07,35
2020-08,37
2020-09,45
2020-10,43
2020-11,36
2020-12,37
2021-01,36
2021-02,43
2021-03,42
2021-04,38
2021-05,37
2021-06,42
2021-07,38
2021-08,37
2021-09,43
2021-10,44
2021-11,45
2021-12,43
2022-01,50
2022-02,58
2022-03,60
2022-04,58
2022-05,56
2022-06,53
2022-07,47
2022-08,48
2022-09,55
2022-10,51
2022-11,58
2022-12,55
2023-01,55
2023-02,53
2023-03,50
2023-04,47
2023-05,54
2023-06,50
2023-07,45
2023-08,45
2023-09,51
2023-10,52
2023-11,48
2023-12,52
2024-01,49
2024-02,49
2024-03,47
2024-04,43
2024-05,50
2024-06,42
2024-07,40
2024-08,42
2024-09,44
2024-10,42
2024-11,46
2024-12,45
2025-01,45
2025-02,44
2025-03,42
2025-04,45
2025-05,44
2025-06,49
2025-07,47
2025-08,65
2025-09,84
2025-10,91
2025-11,100
2025-12,90
