Categoria: Tutte le categorie

Mese,CRISPR: (Tutto il mondo)
2012-01,1
2012-02,< 1
2012-03,< 1
2012-04,< 1
2012-05,< 1
2012-06,< 1
2012-07,< 1
2012-08,< 1
2012-09,< 1
2012-10,1
2012-11,< 1
2012-12,< 1
2013-01,1
2013-02,1
2013-03,1
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,4
2013-11,6
2013-12,5
2014-01,6
2014-02,6
2014-03,7
2014-04,8
2014-05,7
2014-06,7
2014-07,7
2014-08,6
2014-09,7
2014-10,9
2014-11,9
2014-12,8
2015-01,9
2015-02,10
2015-03,12
2015-04,12
2015-05,12
2015-06,14
2015-07,11
2015-08,12
2015-09,13
2015-10,14
2015-11,18
2015-12,22
2016-01,26
2016-02,22
2016-03,27
2016-04,26
2016-05,22
2016-06,26
2016-07,19
2016-08,24
2016-09,28
2016-10,30
2016-11,35
2016-12,30
2017-01,29
2017-02,35
2017-03,36
2017-04,38
2017-05,37
2017-06,29
2017-07,28
2017-08,33
2017-09,29
2017-10,36
2017-11,45
2017-12,37
2018-01,42
2018-02,37
2018-03,37
2018-04,46
2018-05,40
2018-06,35
2018-07,34
2018-08,27
2018-09,33
2018-10,36
2018-11,50
2018-12,47
2019-01,39
2019-02,42
2019-03,41
2019-04,40
2019-05,37
2019-06,31
2019-07,28
2019-08,28
2019-09,31
2019-10,52
2019-11,52
2019-12,43
2020-01,40
2020-02,41
2020-03,40
2020-04,36
2020-05,38
2020-06,30
2020-07,27
2020-08,25
2020-09,36
2020-10,54
2020-11,39
2020-12,48
2021-01,49
2021-02,46
2021-03,49
2021-04,43
2021-05,39
2021-06,37
2021-07,34
2021-08,32
2021-09,32
2021-10,36
2021-11,35
2021-12,32
2022-01,34
2022-02,36
2022-03,42
2022-04,40
2022-05,39
2022-06,32
2022-07,26
2022-08,25
2022-09,28
2022-10,30
2022-11,33
2022-12,31
2023-01,32
2023-02,38
2023-03,37
2023-04,35
2023-05,34
2023-06,29
2023-07,24
2023-08,24
2023-09,30
2023-10,31
2023-11,41
2023-12,47
2024-01,34
2024-02,42
2024-03,40
2024-04,39
2024-05,36
2024-06,30
2024-07,25
2024-08,24
2024-09,29
2024-10,33
2024-11,37
2024-12,32
2025-01,34
2025-02,40
2025-03,42
2025-04,43
2025-05,47
2025-06,47
2025-07,48
2025-08,94
2025-09,96
2025-10,100
2025-11,99
2025-12,75
