Categoria: Tutte le categorie

Mese,deep learning: (Tutto il mondo)
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,< 1
2006-10,1
2006-11,1
2006-12,< 1
2007-01,1
2007-02,1
2007-03,< 1
2007-04,< 1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,< 1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,< 1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,< 1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,< 1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,1
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,2
2013-06,2
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,2
2013-12,2
2014-01,2
2014-02,3
2014-03,2
2014-04,3
2014-05,3
2014-06,2
2014-07,2
2014-08,2
2014-09,3
2014-10,3
2014-11,3
2014-12,5
2015-01,5
2015-02,5
2015-03,5
2015-04,5
2015-05,5
2015-06,5
2015-07,5
2015-08,5
2015-09,6
2015-10,6
2015-11,7
2015-12,7
2016-01,9
2016-02,8
2016-03,11
2016-04,11
2016-05,10
2016-06,11
2016-07,10
2016-08,10
2016-09,12
2016-10,13
2016-11,14
2016-12,15
2017-01,17
2017-02,18
2017-03,19
2017-04,20
2017-05,20
2017-06,21
2017-07,20
2017-08,21
2017-09,21
2017-10,23
2017-11,24
2017-12,23
2018-01,24
2018-02,24
2018-03,25
2018-04,24
2018-05,25
2018-06,25
2018-07,23
2018-08,23
2018-09,25
2018-10,26
2018-11,25
2018-12,22
2019-01,24
2019-02,24
2019-03,25
2019-04,25
2019-05,25
2019-06,24
2019-07,24
2019-08,23
2019-09,25
2019-10,25
2019-11,24
2019-12,23
2020-01,24
2020-02,26
2020-03,22
2020-04,24
2020-05,24
2020-06,25
2020-07,24
2020-08,22
2020-09,24
2020-10,20
2020-11,21
2020-12,19
2021-01,18
2021-02,19
2021-03,21
2021-04,19
2021-05,20
2021-06,20
2021-07,18
2021-08,17
2021-09,18
2021-10,19
2021-11,20
2021-12,19
2022-01,26
2022-02,32
2022-03,31
2022-04,30
2022-05,31
2022-06,29
2022-07,25
2022-08,25
2022-09,27
2022-10,27
2022-11,30
2022-12,27
2023-01,29
2023-02,31
2023-03,30
2023-04,29
2023-05,31
2023-06,28
2023-07,28
2023-08,28
2023-09,29
2023-10,29
2023-11,29
2023-12,29
2024-01,31
2024-02,33
2024-03,32
2024-04,32
2024-05,33
2024-06,30
2024-07,29
2024-08,28
2024-09,31
2024-10,31
2024-11,34
2024-12,31
2025-01,34
2025-02,37
2025-03,34
2025-04,32
2025-05,35
2025-06,43
2025-07,57
2025-08,96
2025-09,100
2025-10,86
2025-11,94
2025-12,94
