Categoria: Tutte le categorie

Mese,Facebook: (Tutto il mondo)
2004-01,< 1
2004-02,< 1
2004-03,< 1
2004-04,< 1
2004-05,< 1
2004-06,< 1
2004-07,< 1
2004-08,< 1
2004-09,< 1
2004-10,< 1
2004-11,< 1
2004-12,< 1
2005-01,< 1
2005-02,< 1
2005-03,< 1
2005-04,< 1
2005-05,< 1
2005-06,< 1
2005-07,< 1
2005-08,< 1
2005-09,< 1
2005-10,< 1
2005-11,< 1
2005-12,< 1
2006-01,< 1
2006-02,< 1
2006-03,< 1
2006-04,< 1
2006-05,< 1
2006-06,< 1
2006-07,< 1
2006-08,< 1
2006-09,< 1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,2
2007-06,2
2007-07,3
2007-08,4
2007-09,4
2007-10,5
2007-11,6
2007-12,6
2008-01,6
2008-02,6
2008-03,6
2008-04,7
2008-05,8
2008-06,10
2008-07,11
2008-08,12
2008-09,13
2008-10,16
2008-11,19
2008-12,22
2009-01,27
2009-02,30
2009-03,31
2009-04,34
2009-05,34
2009-06,36
2009-07,40
2009-08,45
2009-09,47
2009-10,48
2009-11,52
2009-12,55
2010-01,57
2010-02,57
2010-03,61
2010-04,64
2010-05,64
2010-06,66
2010-07,67
2010-08,69
2010-09,68
2010-10,71
2010-11,70
2010-12,74
2011-01,77
2011-02,77
2011-03,78
2011-04,79
2011-05,74
2011-06,73
2011-07,80
2011-08,80
2011-09,79
2011-10,80
2011-11,74
2011-12,78
2012-01,78
2012-02,76
2012-03,79
2012-04,78
2012-05,79
2012-06,80
2012-07,84
2012-08,74
2012-09,79
2012-10,98
2012-11,95
2012-12,100
2013-01,94
2013-02,94
2013-03,97
2013-04,95
2013-05,91
2013-06,92
2013-07,94
2013-08,91
2013-09,85
2013-10,83
2013-11,81
2013-12,80
2014-01,72
2014-02,72
2014-03,71
2014-04,72
2014-05,72
2014-06,73
2014-07,67
2014-08,72
2014-09,68
2014-10,68
2014-11,63
2014-12,62
2015-01,60
2015-02,60
2015-03,54
2015-04,57
2015-05,59
2015-06,59
2015-07,54
2015-08,58
2015-09,54
2015-10,57
2015-11,54
2015-12,50
2016-01,58
2016-02,53
2016-03,53
2016-04,51
2016-05,56
2016-06,53
2016-07,51
2016-08,49
2016-09,47
2016-10,47
2016-11,45
2016-12,43
2017-01,41
2017-02,40
2017-03,39
2017-04,40
2017-05,39
2017-06,37
2017-07,38
2017-08,39
2017-09,37
2017-10,36
2017-11,32
2017-12,33
2018-01,32
2018-02,32
2018-03,30
2018-04,28
2018-05,26
2018-06,27
2018-07,26
2018-08,25
2018-09,25
2018-10,24
2018-11,23
2018-12,22
2019-01,21
2019-02,21
2019-03,21
2019-04,20
2019-05,21
2019-06,21
2019-07,20
2019-08,19
2019-09,19
2019-10,18
2019-11,18
2019-12,18
2020-01,17
2020-02,17
2020-03,18
2020-04,19
2020-05,18
2020-06,16
2020-07,17
2020-08,17
2020-09,16
2020-10,15
2020-11,15
2020-12,15
2021-01,14
2021-02,14
2021-03,14
2021-04,14
2021-05,14
2021-06,13
2021-07,13
2021-08,13
2021-09,12
2021-10,14
2021-11,12
2021-12,12
2022-01,12
2022-02,10
2022-03,10
2022-04,10
2022-05,10
2022-06,11
2022-07,11
2022-08,11
2022-09,10
2022-10,10
2022-11,10
2022-12,10
2023-01,10
2023-02,10
2023-03,9
2023-04,9
2023-05,10
2023-06,9
2023-07,10
2023-08,10
2023-09,9
2023-10,9
2023-11,9
2023-12,9
2024-01,9
2024-02,8
2024-03,9
2024-04,8
2024-05,8
2024-06,8
2024-07,7
2024-08,8
2024-09,8
2024-10,7
2024-11,6
2024-12,7
2025-01,7
2025-02,7
2025-03,6
2025-04,6
2025-05,6
2025-06,6
2025-07,6
2025-08,6
2025-09,6
2025-10,6
2025-11,5
2025-12,6
