Categoria: Tutte le categorie

Mese,mRNA vaccine: (Tutto il mondo)
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,0
2015-08,0
2015-09,0
2015-10,< 1
2015-11,0
2015-12,0
2016-01,0
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,< 1
2016-09,0
2016-10,0
2016-11,< 1
2016-12,< 1
2017-01,< 1
2017-02,< 1
2017-03,< 1
2017-04,< 1
2017-05,< 1
2017-06,0
2017-07,0
2017-08,0
2017-09,< 1
2017-10,0
2017-11,< 1
2017-12,0
2018-01,0
2018-02,< 1
2018-03,< 1
2018-04,< 1
2018-05,< 1
2018-06,0
2018-07,< 1
2018-08,< 1
2018-09,< 1
2018-10,< 1
2018-11,< 1
2018-12,< 1
2019-01,0
2019-02,< 1
2019-03,< 1
2019-04,< 1
2019-05,< 1
2019-06,< 1
2019-07,< 1
2019-08,< 1
2019-09,< 1
2019-10,< 1
2019-11,< 1
2019-12,0
2020-01,< 1
2020-02,1
2020-03,4
2020-04,2
2020-05,7
2020-06,2
2020-07,6
2020-08,5
2020-09,4
2020-10,3
2020-11,31
2020-12,85
2021-01,66
2021-02,52
2021-03,71
2021-04,84
2021-05,75
2021-06,72
2021-07,82
2021-08,100
2021-09,64
2021-10,47
2021-11,47
2021-12,51
2022-01,47
2022-02,25
2022-03,16
2022-04,13
2022-05,9
2022-06,10
2022-07,10
2022-08,11
2022-09,9
2022-10,17
2022-11,9
2022-12,14
2023-01,19
2023-02,13
2023-03,8
2023-04,11
2023-05,10
2023-06,8
2023-07,8
2023-08,8
2023-09,10
2023-10,14
2023-11,8
2023-12,8
2024-01,9
2024-02,10
2024-03,8
2024-04,9
2024-05,9
2024-06,9
2024-07,6
2024-08,8
2024-09,11
2024-10,10
2024-11,9
2024-12,10
2025-01,11
2025-02,13
2025-03,12
2025-04,10
2025-05,11
2025-06,10
2025-07,11
2025-08,47
2025-09,37
2025-10,29
2025-11,27
2025-12,21
