Categoria: Tutte le categorie

Mese,quantum computing: (Tutto il mondo)
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,1
2012-04,1
2012-05,1
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,2
2012-11,1
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,2
2013-06,1
2013-07,1
2013-08,1
2013-09,2
2013-10,2
2013-11,2
2013-12,1
2014-01,2
2014-02,2
2014-03,1
2014-04,1
2014-05,2
2014-06,1
2014-07,1
2014-08,1
2014-09,2
2014-10,1
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,1
2015-04,1
2015-05,2
2015-06,1
2015-07,1
2015-08,1
2015-09,2
2015-10,2
2015-11,2
2015-12,2
2016-01,1
2016-02,1
2016-03,1
2016-04,4
2016-05,2
2016-06,1
2016-07,1
2016-08,1
2016-09,1
2016-10,1
2016-11,1
2016-12,1
2017-01,1
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,1
2017-07,2
2017-08,2
2017-09,2
2017-10,3
2017-11,3
2017-12,3
2018-01,3
2018-02,3
2018-03,3
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,3
2018-11,3
2018-12,2
2019-01,3
2019-02,3
2019-03,3
2019-04,2
2019-05,2
2019-06,2
2019-07,2
2019-08,2
2019-09,3
2019-10,5
2019-11,4
2019-12,3
2020-01,3
2020-02,3
2020-03,3
2020-04,3
2020-05,3
2020-06,3
2020-07,3
2020-08,3
2020-09,3
2020-10,3
2020-11,2
2020-12,3
2021-01,3
2021-02,3
2021-03,4
2021-04,3
2021-05,3
2021-06,4
2021-07,3
2021-08,3
2021-09,3
2021-10,3
2021-11,4
2021-12,3
2022-01,4
2022-02,4
2022-03,4
2022-04,4
2022-05,3
2022-06,4
2022-07,4
2022-08,4
2022-09,4
2022-10,4
2022-11,4
2022-12,4
2023-01,4
2023-02,5
2023-03,4
2023-04,4
2023-05,5
2023-06,5
2023-07,5
2023-08,5
2023-09,5
2023-10,5
2023-11,5
2023-12,6
2024-01,5
2024-02,6
2024-03,6
2024-04,5
2024-05,5
2024-06,5
2024-07,5
2024-08,5
2024-09,5
2024-10,6
2024-11,7
2024-12,21
2025-01,16
2025-02,15
2025-03,11
2025-04,9
2025-05,10
2025-06,14
2025-07,14
2025-08,29
2025-09,32
2025-10,38
2025-11,100
2025-12,98
